"Net generation for electric power"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vtvv&geo=g&sec=008&linechart=ELEC.GEN.ALL-US-98.A&columnchart=ELEC.GEN.ALL-US-98.A&map=ELEC.GEN.ALL-US-98.A&freq=A&start=2015&end=2019&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Thu Jan 14 2021 12:01:19 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2015","2016","2017","2018","2019"
"Net generation for electric power","thousand megawatthours",,,,,,
"United States",,"ELEC.GEN..A",,,,,
"United States : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-US-98.A",3919294,3918078,3877453,4018167,3964656
"United States : coal","thousand megawatthours","ELEC.GEN.COW-US-98.A",1340993,1229663,1197838,1142173,958732
"United States : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-US-98.A",16626,12429,11848,15595,11080
"United States : petroleum coke","thousand megawatthours","ELEC.GEN.PC-US-98.A",9879,10282,8192,8333,6238
"United States : natural gas","thousand megawatthours","ELEC.GEN.NG-US-98.A",1237656,1279380,1196753,1365822,1477042
"United States : other gases","thousand megawatthours","ELEC.GEN.OOG-US-98.A",3715,3912,4126,4086,4037
"United States : nuclear","thousand megawatthours","ELEC.GEN.NUC-US-98.A",797178,805694,804950,807084,809409
"United States : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-US-98.A",247636,266326,298711,291148,286652
"United States : other renewables",,"ELEC.GEN.AOR-US-98.A",,,,,
"United States : wind","thousand megawatthours","ELEC.GEN.WND-US-98.A",190547,226790,254074,272396,294628
"United States : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-US-98.A",24456,35497,52724,63253,71265
"United States : geothermal","thousand megawatthours","ELEC.GEN.GEO-US-98.A",15918,15826,15927,15934,15031
"United States : biomass","thousand megawatthours","ELEC.GEN.BIO-US-98.A",32386,31603,31725,31008,28112
"United States : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-US-98.A",14563,13420,13641,13385,12020
"United States : other biomass","thousand megawatthours","ELEC.GEN.WAS-US-98.A",17823,18183,18084,17623,16091
"United States : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-US-98.A",-5091,-6686,-6495,-5905,-5261
"United States : other","thousand megawatthours","ELEC.GEN.OTH-US-98.A",7396,7363,7080,7238,7692
"United States : all solar","thousand megawatthours","ELEC.GEN.TSN-US-98.A","--","--","--","--","--"
"United States : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-US-98.A","--","--","--","--","--"
"United States : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-US-98.A",24456,35497,52724,63253,71265
